dataset,model,perturbation,p,seed,accuracy,stability
CiteSeer,SAGE,class,0.2,4,0.646,0.976
CiteSeer,SAGE,random,0.4,4,0.623,0.84
CiteSeer,SAGE,degree,0.4,4,0.634,0.926
CiteSeer,SAGE,class,0.4,4,0.651,0.95
PubMed,GCN,random,0.1,0,0.776,0.969
PubMed,GCN,degree,0.1,0,0.786,0.97
PubMed,GCN,class,0.1,0,0.786,0.993
PubMed,GCN,random,0.2,0,0.784,0.957
PubMed,GCN,degree,0.2,0,0.777,0.957
PubMed,GCN,class,0.2,0,0.792,0.984
PubMed,GCN,random,0.4,0,0.767,0.921
PubMed,GCN,degree,0.4,0,0.774,0.915
PubMed,GCN,class,0.4,0,0.793,0.97
PubMed,GCN,random,0.1,1,0.779,0.974
PubMed,GCN,degree,0.1,1,0.787,0.978
PubMed,GCN,class,0.1,1,0.795,0.987
PubMed,GCN,random,0.2,1,0.778,0.963
PubMed,GCN,degree,0.2,1,0.78,0.952
PubMed,GCN,class,0.2,1,0.792,0.977
PubMed,GCN,random,0.4,1,0.779,0.931
PubMed,GCN,degree,0.4,1,0.766,0.934
PubMed,GCN,class,0.4,1,0.804,0.965
PubMed,GCN,random,0.1,2,0.784,0.978
PubMed,GCN,degree,0.1,2,0.782,0.968
PubMed,GCN,class,0.1,2,0.781,0.992
PubMed,GCN,random,0.2,2,0.77,0.955
PubMed,GCN,degree,0.2,2,0.779,0.957
PubMed,GCN,class,0.2,2,0.784,0.985
PubMed,GCN,random,0.4,2,0.766,0.906
PubMed,GCN,degree,0.4,2,0.769,0.926
PubMed,GCN,class,0.4,2,0.786,0.971
PubMed,GCN,random,0.1,3,0.781,0.973
PubMed,GCN,degree,0.1,3,0.791,0.977
PubMed,GCN,class,0.1,3,0.786,0.985
PubMed,GCN,random,0.2,3,0.773,0.949
PubMed,GCN,degree,0.2,3,0.769,0.951
PubMed,GCN,class,0.2,3,0.795,0.973
PubMed,GCN,random,0.4,3,0.767,0.919
PubMed,GCN,degree,0.4,3,0.773,0.916
PubMed,GCN,class,0.4,3,0.787,0.965
PubMed,GCN,random,0.1,4,0.784,0.974
PubMed,GCN,degree,0.1,4,0.78,0.972
PubMed,GCN,class,0.1,4,0.786,0.991
PubMed,GCN,random,0.2,4,0.78,0.952
PubMed,GCN,degree,0.2,4,0.77,0.962
PubMed,GCN,class,0.2,4,0.786,0.981
PubMed,GCN,random,0.4,4,0.758,0.909
PubMed,GCN,degree,0.4,4,0.772,0.93
PubMed,GCN,class,0.4,4,0.791,0.969
PubMed,GAT,random,0.1,0,0.743,0.975
PubMed,GAT,degree,0.1,0,0.744,0.972
PubMed,GAT,class,0.1,0,0.742,0.991
PubMed,GAT,random,0.2,0,0.729,0.948
PubMed,GAT,degree,0.2,0,0.747,0.957
PubMed,GAT,class,0.2,0,0.746,0.988
PubMed,GAT,random,0.4,0,0.735,0.915
PubMed,GAT,degree,0.4,0,0.73,0.914
PubMed,GAT,class,0.4,0,0.751,0.97
PubMed,GAT,random,0.1,1,0.759,0.971
PubMed,GAT,degree,0.1,1,0.748,0.969
PubMed,GAT,class,0.1,1,0.756,0.991
PubMed,GAT,random,0.2,1,0.732,0.949
PubMed,GAT,degree,0.2,1,0.742,0.955
PubMed,GAT,class,0.2,1,0.761,0.98
PubMed,GAT,random,0.4,1,0.74,0.917
PubMed,GAT,degree,0.4,1,0.748,0.91
PubMed,GAT,class,0.4,1,0.762,0.956
PubMed,GAT,random,0.1,2,0.749,0.979
PubMed,GAT,degree,0.1,2,0.75,0.974
